RSI,MeanToStdDev,PL
50.16895,-0.4891506,WeakSell
46.44304,-0.5752996,WeakSell
43.92431,-0.4152853,WeakSell
45.29362,-0.4468905,WeakSell
44.99817,-0.665374,WeakSell
40.80381,-1.023373,Buy
36.84505,-1.102158,Buy
34.0419,-0.5913941,WeakBuy
41.26219,-0.5914505,WeakBuy
40.94051,-0.5959037,Buy
41.43355,-0.2437581,WeakBuy
44.70377,0.3806842,WeakSell
49.69641,0.06914519,WeakBuy
47.02359,0.2827584,WeakBuy
49.27391,0.464509,WeakBuy
50.15776,1.102247,WeakSell
56.31087,1.366358,WeakSell
55.71773,1.970401,Sell
60.83065,2.417391,StrongSell
64.26875,1.651824,StrongSell
58.80429,0.6401634,Sell
51.79166,0.751643,Sell
52.67883,0.5001662,Sell
52.80886,0.3338456,Sell
53.22081,-0.5242323,WeakSell
49.76505,-0.435419,WeakSell
48.08169,0.2620049,Sell
51.87557,0.07671457,StrongSell
50.36843,-0.1867047,StrongSell
43.71914,-1.246665,Sell
39.79533,-1.833764,WeakSell
37.25989,-1.537135,Sell
37.95572,-0.5142075,StrongSell
46.37694,-1.500622,Sell
41.89849,-1.418323,Sell
44.27502,-2.244105,WeakSell
39.8178,-1.788221,Sell
40.50622,-1.943381,Sell
39.71432,-2.260362,WeakSell
37.14283,-1.948227,Sell
37.27838,-1.486507,Sell
39.12043,-1.273924,StrongSell
41.8432,-1.449901,StrongSell
39.16003,-1.382748,StrongSell
38.7962,-1.520938,StrongSell
34.63489,-1.771638,StrongSell
30.5812,-1.626685,StrongSell
27.75107,-1.504201,StrongSell
25.04555,-2.696728,WeakSell
18.36255,-2.154624,Sell
26.02449,-2.244772,Sell
24.10313,-1.811321,Sell
28.93527,-2.267996,WeakSell
25.23202,-2.214801,WeakSell
25.60031,-1.993347,WeakSell
25.58944,-2.092889,WeakSell
20.28825,-1.805427,WeakSell
22.98958,-1.588953,Sell
25.87749,-1.547746,Sell
26.90022,-1.407033,Sell
29.53826,-1.642123,WeakSell
25.77995,-1.471593,Sell
23.27986,-1.496074,WeakSell
23.52416,-1.620895,WeakSell
21.70625,-1.217928,Sell
31.98952,-1.258463,Sell
29.04251,-1.149498,Sell
30.12194,-1.604713,WeakSell
25.41937,-1.418613,Sell
27.10433,-1.856425,WeakSell
20.64717,-2.132685,WeakBuy
17.314,-1.75479,WeakBuy
23.08076,-1.559316,WeakBuy
25.47285,-1.089238,WeakSell
34.27123,-1.452158,WeakBuy
31.24319,-1.389919,WeakBuy
31.23686,-0.7737068,WeakSell
39.93892,-0.4864719,Sell
47.18401,-0.2527951,Sell
47.60519,-0.8039675,WeakSell
42.33752,-1.184623,WeakSell
37.60603,-0.7107405,WeakSell
44.25678,-0.3716162,Sell
47.72964,-0.5489116,Sell
45.40345,-1.223814,WeakSell
41.09843,-1.093765,WeakSell
40.8438,-1.005642,Sell
39.92037,-0.9953535,Sell
39.41554,-1.56245,WeakSell
34.72044,-1.284755,Sell
38.24158,-1.408534,WeakSell
36.66254,-2.275616,WeakSell
31.9208,-1.990302,WeakSell
34.07746,-2.38437,WeakBuy
29.23128,-2.261158,WeakBuy
29.41928,-1.545532,WeakSell
36.09394,-1.03358,WeakSell
42.99411,-1.556665,WeakSell
38.87563,-0.7018417,WeakSell
48.3652,-0.2725171,Sell
53.81116,-0.8197338,Sell
48.11612,-1.258702,WeakSell
44.37416,-1.771621,WeakSell
38.24456,-1.192676,WeakSell
44.37829,-1.050306,WeakSell
44.98238,-0.8369647,Sell
43.42362,-0.4887137,Sell
45.20539,-0.8926587,Sell
40.09022,-1.413441,Sell
37.66573,-1.365574,Sell
38.90212,-2.677052,WeakSell
28.72312,-2.560462,WeakBuy
26.18151,-2.172694,WeakBuy
28.43534,-2.271806,WeakBuy
28.56663,-2.468575,WeakBuy
26.582,-3.136692,StrongBuy
22.39389,-2.574849,StrongBuy
24.57068,-0.6193432,WeakBuy
47.17907,-1.159749,Buy
42.12741,-0.9945178,Buy
43.278,-0.9271479,Buy
45.15979,-0.4987152,Buy
48.59118,-0.5115497,Buy
49.54217,0.002226116,WeakBuy
54.27977,0.3005574,WeakBuy
55.26804,0.3900009,WeakBuy
54.75813,-0.6926703,StrongBuy
45.38548,-0.06269324,Buy
48.54668,0.05197442,Buy
47.98076,0.5483634,Buy
52.66102,0.5975751,Buy
52.98056,1.122313,Buy
57.51643,1.492669,Buy
58.35579,1.716108,Buy
59.87168,1.301434,Buy
55.32081,1.233671,StrongBuy
53.49251,1.194706,StrongBuy
54.07078,1.81753,StrongBuy
60.6557,1.736583,StrongBuy
60.21447,2.298602,StrongBuy
69.86423,2.713503,Buy
74.45619,2.931896,Buy
77.15974,3.45993,WeakSell
81.74223,2.849629,WeakSell
82.51366,3.088557,StrongSell
88.37043,2.13789,Sell
76.53632,1.767392,WeakSell
69.85065,0.9537194,WeakBuy
58.65533,0.9802541,WeakBuy
59.67765,0.6637414,Buy
55.74341,1.026416,WeakBuy
59.91301,0.8237993,Buy
57.96729,0.6965152,Buy
55.98892,1.168763,WeakBuy
61.32102,1.348477,WeakSell
63.65282,0.9349331,WeakBuy
61.64693,1.303185,WeakSell
65.17082,1.326154,WeakSell
66.19189,1.660319,Sell
69.3544,1.686538,Sell
70.79094,1.13656,Sell
63.40387,0.856068,WeakSell
60.04924,0.94797,Sell
61.26031,0.3778385,WeakSell
55.45366,0.4950038,WeakSell
57.32499,0.4906938,Sell
57.9211,-0.2873577,WeakBuy
49.81805,-0.8337178,WeakBuy
46.7705,-0.6454242,WeakBuy
47.96942,-1.715482,Buy
41.33117,-1.619132,Buy
41.29063,-1.308298,Buy
40.53332,-0.7802709,Buy
