Date,Price,Open,High,Low,Change
2007-01-15,1.2936,1.2927,1.2959,1.2914,0.15%
2007-01-12,1.2917,1.2891,1.2946,1.2866,0.19%
2007-01-11,1.2893,1.2937,1.3016,1.2881,-0.32%
2007-01-10,1.2934,1.3002,1.3008,1.2931,-0.48%
2007-01-09,1.2997,1.3023,1.3054,1.2985,-0.18%
2007-01-08,1.302,1.3013,1.3037,1.2973,0.13%
2007-01-05,1.3003,1.3085,1.3106,1.298,-0.63%
2007-01-04,1.3085,1.3167,1.3182,1.3074,-0.59%
2007-01-03,1.3163,1.3272,1.3291,1.3146,-0.86%
2007-01-02,1.3277,1.3201,1.3299,1.3196,0.59%
2007-01-01,1.3199,1.3197,1.3203,1.3171,0.00%
2006-12-29,1.3199,1.315,1.3208,1.3138,0.39%
2006-12-28,1.3148,1.3119,1.3203,1.3104,0.21%
2006-12-27,1.312,1.3098,1.318,1.3093,0.18%
2006-12-26,1.3096,1.3117,1.3142,1.3089,-0.27%
2006-12-25,1.3131,1.3133,1.3165,1.31,-0.10%
2006-12-22,1.3144,1.3174,1.3216,1.3109,-0.22%
2006-12-21,1.3173,1.3175,1.3218,1.314,-0.04%
2006-12-20,1.3178,1.3188,1.3246,1.316,-0.11%
2006-12-19,1.3192,1.3102,1.3217,1.3083,0.70%
2006-12-18,1.31,1.3083,1.3123,1.3053,0.13%
2006-12-15,1.3083,1.3144,1.3188,1.3059,-0.48%
2006-12-14,1.3146,1.3215,1.3255,1.314,-0.54%
2006-12-13,1.3218,1.3282,1.329,1.3191,-0.47%
2006-12-12,1.328,1.3238,1.3292,1.3211,0.32%
2006-12-11,1.3237,1.3178,1.3265,1.3131,0.27%
2006-12-08,1.3201,1.3287,1.3365,1.3192,-0.68%
2006-12-07,1.3291,1.3283,1.3327,1.3274,-0.02%
2006-12-06,1.3293,1.3317,1.3342,1.3255,-0.23%
2006-12-05,1.3323,1.3338,1.3365,1.3285,0.02%
2006-12-04,1.3321,1.3334,1.3369,1.3282,-0.11%
2006-12-01,1.3336,1.3243,1.335,1.3217,0.72%
2006-11-30,1.3241,1.3154,1.3275,1.3141,0.71%
2006-11-29,1.3148,1.3199,1.322,1.3131,-0.40%
2006-11-28,1.3201,1.3133,1.3209,1.3114,0.52%
2006-11-27,1.3133,1.3171,1.3173,1.3087,0.31%
2006-11-24,1.3093,1.2946,1.3112,1.2944,1.17%
2006-11-23,1.2942,1.2946,1.2976,1.2927,-0.02%
2006-11-22,1.2944,1.2843,1.2959,1.2837,0.77%
2006-11-21,1.2845,1.2818,1.2856,1.2797,0.26%
2006-11-20,1.2812,1.283,1.2856,1.2805,-0.12%
2006-11-17,1.2828,1.2793,1.2847,1.2761,0.23%
2006-11-16,1.2798,1.2826,1.2842,1.2784,-0.22%
2006-11-15,1.2826,1.2813,1.2837,1.2772,0.11%
2006-11-14,1.2812,1.2807,1.2873,1.279,0.07%
2006-11-13,1.2803,1.2843,1.2879,1.2795,-0.32%
2006-11-10,1.2844,1.2828,1.2901,1.2826,0.14%
2006-11-09,1.2826,1.2757,1.2849,1.275,0.54%
2006-11-08,1.2757,1.2773,1.2811,1.2744,-0.12%
2006-11-07,1.2772,1.2724,1.2821,1.2721,0.40%
2006-11-06,1.2721,1.2719,1.2727,1.2689,0.02%
2006-11-03,1.2718,1.2779,1.2793,1.2682,-0.45%
2006-11-02,1.2776,1.2757,1.2786,1.2736,0.16%
2006-11-01,1.2755,1.2763,1.2799,1.2742,-0.06%
2006-10-31,1.2763,1.2726,1.2785,1.2679,0.24%
2006-10-30,1.2732,1.2732,1.2739,1.2699,-0.07%
2006-10-27,1.2741,1.2688,1.2753,1.2664,0.39%
2006-10-26,1.2692,1.2602,1.2704,1.26,0.71%
2006-10-25,1.2602,1.2553,1.2625,1.255,0.36%
2006-10-24,1.2557,1.2548,1.2578,1.2523,0.07%
2006-10-23,1.2548,1.2618,1.2622,1.2534,-0.52%
2006-10-20,1.2614,1.2626,1.2641,1.2597,-0.11%
2006-10-19,1.2628,1.2534,1.2645,1.253,0.76%
2006-10-18,1.2533,1.2534,1.2561,1.25,-0.04%
2006-10-17,1.2538,1.2532,1.2567,1.2508,0.06%
2006-10-16,1.253,1.2499,1.2538,1.2487,0.12%
2006-10-13,1.2515,1.2556,1.258,1.2484,-0.35%
2006-10-12,1.2559,1.2517,1.2567,1.2515,0.34%
2006-10-11,1.2517,1.2534,1.2559,1.2502,-0.17%
2006-10-10,1.2538,1.2593,1.2618,1.2517,-0.45%
2006-10-09,1.2595,1.2593,1.2618,1.2584,-0.04%
2006-10-06,1.26,1.269,1.2717,1.2574,-0.75%
2006-10-05,1.2695,1.2717,1.2732,1.2674,-0.17%
2006-10-04,1.2717,1.2729,1.2744,1.2666,-0.15%
2006-10-03,1.2736,1.2738,1.2769,1.2719,-0.02%
2006-10-02,1.2738,1.2683,1.2759,1.266,0.52%
2006-09-29,1.2672,1.2698,1.2714,1.2638,-0.27%
2006-09-28,1.2706,1.2698,1.2736,1.2677,0.05%
2006-09-27,1.27,1.2685,1.2721,1.267,0.12%
2006-09-26,1.2685,1.2748,1.2765,1.2662,-0.53%
2006-09-25,1.2752,1.2792,1.2827,1.2732,-0.22%
2006-09-22,1.278,1.2783,1.2835,1.2774,0.00%
2006-09-21,1.278,1.2688,1.2799,1.2681,0.73%
2006-09-20,1.2687,1.2673,1.2729,1.2662,0.06%
2006-09-19,1.2679,1.2698,1.2729,1.2651,-0.19%
2006-09-18,1.2703,1.2636,1.2712,1.263,0.44%
2006-09-15,1.2647,1.2721,1.2736,1.263,-0.58%
2006-09-14,1.2721,1.2698,1.2755,1.2674,0.21%
2006-09-13,1.2694,1.2683,1.2717,1.2664,0.07%
2006-09-12,1.2685,1.27,1.2734,1.267,-0.15%
2006-09-11,1.2704,1.2668,1.2744,1.2647,0.24%
2006-09-08,1.2673,1.2732,1.2742,1.2649,-0.46%
2006-09-07,1.2732,1.2801,1.2832,1.2704,-0.57%
2006-09-06,1.2805,1.2818,1.2837,1.2767,-0.10%
2006-09-05,1.2818,1.2862,1.2866,1.2793,-0.43%
2006-09-04,1.2873,1.2846,1.2876,1.2838,0.29%
2006-09-01,1.2836,1.2804,1.2848,1.2754,0.23%
2006-08-31,1.2807,1.2835,1.2881,1.2784,-0.25%
2006-08-30,1.2839,1.2824,1.2855,1.2811,0.08%
2006-08-29,1.2829,1.2786,1.2845,1.275,0.40%
2006-08-28,1.2778,1.2761,1.2822,1.2753,0.22%
2006-08-25,1.275,1.2767,1.2784,1.2725,-0.13%
2006-08-24,1.2767,1.2784,1.2845,1.275,-0.16%
2006-08-23,1.2788,1.2805,1.2853,1.2776,-0.13%
2006-08-22,1.2805,1.2887,1.2892,1.2783,-0.67%
2006-08-21,1.2891,1.2828,1.294,1.2826,0.51%
2006-08-18,1.2826,1.2831,1.2848,1.2781,-0.05%
2006-08-17,1.2832,1.2843,1.2893,1.2813,-0.10%
2006-08-16,1.2845,1.2784,1.2868,1.2767,0.45%
2006-08-15,1.2787,1.2723,1.2806,1.2695,0.53%
2006-08-14,1.2719,1.2713,1.2767,1.2706,-0.02%
2006-08-11,1.2722,1.2793,1.2801,1.2716,-0.56%
2006-08-10,1.2794,1.2865,1.2914,1.2748,-0.53%
2006-08-09,1.2862,1.2822,1.2904,1.2765,0.22%
2006-08-08,1.2834,1.2831,1.2896,1.2806,0.01%
2006-08-07,1.2833,1.2883,1.2893,1.283,-0.32%
2006-08-04,1.2874,1.2803,1.2912,1.276,0.54%
2006-08-03,1.2805,1.279,1.2837,1.2742,0.13%
2006-08-02,1.2788,1.2824,1.2837,1.2774,-0.31%
2006-08-01,1.2828,1.2763,1.283,1.2719,0.51%
2006-07-31,1.2763,1.2767,1.2784,1.2738,-0.01%
2006-07-28,1.2764,1.2697,1.2772,1.2658,0.52%
2006-07-27,1.2698,1.2716,1.2774,1.2681,-0.15%
2006-07-26,1.2717,1.2579,1.2725,1.2559,1.11%
2006-07-25,1.2578,1.263,1.2675,1.2561,-0.45%
2006-07-24,1.2635,1.2702,1.2708,1.2609,-0.49%
2006-07-21,1.2697,1.263,1.2699,1.2624,0.55%
2006-07-20,1.2628,1.2591,1.2656,1.2588,0.28%
2006-07-19,1.2593,1.2503,1.261,1.2457,0.70%
2006-07-18,1.2506,1.2521,1.2561,1.2473,-0.10%
2006-07-17,1.2519,1.2632,1.2647,1.251,-1.04%
2006-07-14,1.2651,1.2692,1.2698,1.2625,-0.32%
2006-07-13,1.2692,1.2701,1.2734,1.2664,-0.08%
2006-07-12,1.2702,1.2763,1.2782,1.2675,-0.55%
2006-07-11,1.2772,1.2736,1.2779,1.2704,0.27%
2006-07-10,1.2737,1.2812,1.2818,1.2718,-0.57%
2006-07-07,1.281,1.278,1.2864,1.2765,0.25%
2006-07-06,1.2778,1.2723,1.2784,1.2719,0.45%
2006-07-05,1.2721,1.2786,1.2841,1.2704,-0.58%
2006-07-04,1.2795,1.279,1.2824,1.2784,-0.02%
2006-07-03,1.2798,1.279,1.2825,1.2762,0.07%
2006-06-30,1.2789,1.2668,1.2797,1.2657,1.00%
2006-06-29,1.2662,1.255,1.2668,1.2515,0.84%
2006-06-28,1.2557,1.2581,1.2586,1.2516,-0.21%
2006-06-27,1.2584,1.2588,1.262,1.2559,-0.03%
2006-06-26,1.2588,1.2504,1.2605,1.25,0.61%
2006-06-23,1.2512,1.2572,1.2596,1.2479,-0.52%
2006-06-22,1.2578,1.2664,1.2681,1.255,-0.65%
2006-06-21,1.266,1.2584,1.2681,1.258,0.60%
2006-06-20,1.2584,1.2578,1.2618,1.2538,0.08%
2006-06-19,1.2574,1.2649,1.2654,1.255,-0.56%
2006-06-16,1.2645,1.2634,1.2678,1.2619,0.08%
2006-06-15,1.2635,1.2605,1.2658,1.2578,0.24%
2006-06-14,1.2605,1.2548,1.265,1.2534,0.49%
2006-06-13,1.2544,1.2582,1.262,1.2529,-0.33%
2006-06-12,1.2585,1.2618,1.2653,1.2567,-0.47%
2006-06-09,1.2644,1.2653,1.2686,1.2596,-0.06%
2006-06-08,1.2651,1.2794,1.2809,1.2625,-1.09%
2006-06-07,1.279,1.2819,1.2838,1.2758,-0.23%
2006-06-06,1.282,1.2908,1.2938,1.2807,-0.67%
2006-06-05,1.2906,1.2929,1.298,1.29,-0.09%
2006-06-02,1.2918,1.2813,1.2942,1.2795,0.84%
2006-06-01,1.281,1.2813,1.2825,1.2721,-0.02%
2006-05-31,1.2812,1.2876,1.2905,1.2804,-0.49%
2006-05-30,1.2875,1.2748,1.291,1.274,0.96%
2006-05-29,1.2752,1.2731,1.277,1.2719,0.13%
2006-05-26,1.2735,1.2816,1.2837,1.2701,-0.55%
2006-05-25,1.2805,1.2759,1.2818,1.2746,0.42%
2006-05-24,1.2752,1.2814,1.2894,1.2729,-0.53%
2006-05-23,1.282,1.2866,1.2879,1.2803,-0.41%
2006-05-22,1.2873,1.2759,1.2887,1.2693,0.78%
2006-05-19,1.2774,1.2858,1.2867,1.2695,-0.68%
2006-05-18,1.2862,1.2731,1.2866,1.2721,0.99%
2006-05-17,1.2736,1.286,1.2923,1.2702,-0.98%
2006-05-16,1.2862,1.2797,1.287,1.2769,0.51%
2006-05-15,1.2797,1.295,1.2973,1.2778,-1.04%
2006-05-12,1.2932,1.2838,1.2959,1.2831,0.76%
2006-05-11,1.2834,1.2784,1.2873,1.2685,0.36%
2006-05-10,1.2788,1.2761,1.2832,1.275,0.20%
2006-05-09,1.2763,1.27,1.2784,1.266,0.43%
2006-05-08,1.2708,1.2742,1.2788,1.2691,-0.13%
2006-05-05,1.2725,1.2692,1.2768,1.2673,0.24%
2006-05-04,1.2694,1.263,1.2723,1.2569,0.42%
2006-05-03,1.2641,1.2614,1.267,1.2589,0.20%
2006-05-02,1.2616,1.2569,1.2668,1.2557,0.24%
2006-05-01,1.2586,1.2626,1.2691,1.2555,-0.40%
2006-04-28,1.2637,1.253,1.2642,1.2521,0.84%
2006-04-27,1.2532,1.2449,1.2551,1.2404,0.70%
2006-04-26,1.2445,1.2429,1.2471,1.2386,0.08%
2006-04-25,1.2435,1.2386,1.244,1.2364,0.32%
2006-04-24,1.2395,1.2373,1.2416,1.2332,0.44%
2006-04-21,1.2341,1.2317,1.2363,1.2267,0.16%
2006-04-20,1.2321,1.2382,1.2382,1.2285,-0.48%
2006-04-19,1.2381,1.2358,1.2395,1.2283,0.24%
2006-04-18,1.2351,1.2256,1.2361,1.2222,0.80%
2006-04-17,1.2253,1.2124,1.2291,1.2122,1.18%
2006-04-14,1.211,1.2108,1.212,1.2092,-0.05%
2006-04-13,1.2116,1.2104,1.2135,1.2065,0.07%
2006-04-12,1.2107,1.2142,1.217,1.2066,-0.33%
2006-04-11,1.2147,1.2113,1.2156,1.209,0.26%
2006-04-10,1.2115,1.2109,1.213,1.2075,0.21%
2006-04-07,1.209,1.2223,1.2228,1.2088,-1.11%
